trial	resoonse_time
1	324
2	340
3	502
4	307
5	291
6	447
7	465
8	248
9	306
10	241
11	309
12	245
13	263
14	332
15	263
16	289
17	287
18	298
19	415
20	257
21	323
22	258
23	260
24	321
25	356
26	276
27	346
28	273
29	315
30	290
31	357
32	282
33	398
34	354
35	496
36	301
37	273
38	319
39	444
40	334
41	271
42	279
43	254
44	296
45	250
46	313
47	316
48	360
49	289
50	285
51	411
