trial	response_time
1	275
2	300
3	262
4	399
5	252
6	477
7	272
8	537
9	270
10	216
11	435
12	237
13	242
14	446
15	271
16	225
17	325
18	243
19	222
20	243
21	254
22	248
23	282
24	237
25	336
26	224
27	220
28	327
29	325
30	237
31	281
32	273
33	235
34	248
35	228
36	273
37	250
38	254
39	367
40	229
41	268
42	275
43	332
44	237
45	280
46	289
47	314
48	244
49	265
50	330
51	265
52	410
53	390
54	268
55	286
56	263
57	345
58	279
59	360
60	254
61	240
62	253
63	302
64	268
65	318
66	294
67	343
68	429
69	264
70	274
71	315
72	243
73	438
74	287
75	273
76	363
77	250
78	238
79	441
80	301
81	253
82	273
83	385
84	414
85	315
86	282
87	308
88	356
89	332
90	323
91	292
92	319
93	324
94	323
