trial	response_time
1	395
2	263
3	275
4	285
5	458
6	336
7	474
8	279
9	344
10	366
11	261
12	265
13	319
14	277
15	295
16	302
17	369
18	259
19	344
20	347
21	275
22	287
23	277
24	450
25	264
26	278
27	278
28	339
29	263
30	264
31	262
32	273
33	249
34	231
35	228
36	322
37	227
38	269
39	302
40	314
41	325
42	295
43	295
44	248
45	262
46	318
47	238
48	325
49	271
50	257
51	278
