trial	respones_time
1	248
2	288
3	311
4	285
5	519
6	243
7	509
8	320
9	387
10	260
11	284
12	312
13	303
14	283
15	390
16	295
17	247
18	283
19	297
20	362
21	283
22	377
23	324
24	350
25	351
26	367
27	354
28	317
29	283
30	416
31	289
32	350
33	557
34	232
35	257
36	256
37	429
38	262
39	284
40	294
41	293
42	314
43	417
44	325
45	296
46	483
47	283
48	246
