trial	response
1	306
2	305
3	260
4	290
5	310
6	287
7	421
8	283
9	456
10	267
11	261
12	362
13	291
14	296
15	285
16	350
17	284
18	257
19	364
20	434
21	350
22	290
23	349
24	715
25	323
26	350
27	283
28	417
29	301
30	395
31	323
32	364
33	283
34	283
35	300
36	283
37	283
38	299
39	437
40	429
41	333
42	251
43	333
44	616
45	556
46	312
47	310
