trial	response_time
1	363
2	283
3	306
4	253
5	356
6	318
7	349
8	363
9	328
10	445
11	319
12	287
13	330
14	293
15	283
16	330
17	289
18	256
19	350
20	350
21	283
22	257
23	416
24	266
25	375
26	312
27	295
28	292
29	252
30	394
31	295
32	310
33	349
34	392
35	283
36	283
37	349
38	294
39	377
40	549
41	356
42	386
43	283
44	286
45	376
46	354
47	256
