trial	response_time
1	291
2	264
3	412
4	310
5	496
6	478
7	237
8	568
9	270
10	281
11	264
12	334
13	381
14	470
15	381
16	249
17	391
18	255
19	315
20	286
21	295
22	386
23	356
24	389
25	471
26	438
27	347
28	296
29	272
30	284
31	387
32	320
33	306
34	265
35	313
36	339
37	307
38	288
39	300
40	368
41	303
42	349
43	297
44	545
45	327
46	430
47	250
48	329
49	295
50	307
