trial	response_time
1	376
2	421
3	326
4	573
5	426
6	420
7	336
8	295
9	338
10	672
11	345
12	401
13	373
14	429
15	307
16	624
17	285
18	382
19	476
20	438
21	1432
22	818
23	383
24	564
25	273
26	386
27	280
28	344
29	254
30	303
31	784
32	357
33	276
34	429
35	320
36	415
37	739
38	259
39	436
40	462
41	296
42	531
43	338
44	289
45	465
46	427
47	278
48	673
49	289
50	251
51	333
52	501
53	675
54	324
55	339
56	333
57	449
58	468
59	359
60	341
61	365
62	524
63	333
64	500
65	811
66	328
67	381
68	427
69	328
70	334
71	326
72	573
73	332
74	746
75	273
76	331
77	282
78	530
79	498
80	475
81	653
82	520
83	392
84	589
85	434
86	341
87	588
88	346
89	393
90	302
91	381
92	336
