trial	response_time
1	302
2	276
3	253
4	303
5	281
6	298
7	267
8	279
9	392
10	309
11	255
12	400
13	284
14	390
15	546
16	281
17	292
18	294
19	288
20	273
21	426
22	293
23	398
24	363
25	298
26	396
27	648
28	333
29	341
30	308
31	381
32	297
33	666
34	450
35	262
36	280
37	299
38	378
39	288
40	361
41	345
42	311
43	302
44	332
45	412
46	328
47	830
48	274
49	291
50	638
51	296
52	322
53	378
54	440
55	12625
56	369
57	327
58	335
59	302
60	319
61	309
62	327
63	447
64	306
65	721
66	287
67	871
68	385
69	430
70	457
71	2300
72	421
73	489
74	376
75	525
76	622
77	393
78	558
79	2468
80	367
81	301
82	332
83	363
84	553
85	327
86	438
87	1664
88	502
89	827
90	545
