trail	response_time
1	497
2	393
3	350
4	416
5	314
6	283
7	639
8	425
9	423
10	383
11	417
12	421
13	307
14	429
15	360
16	316
17	350
18	526
19	350
20	1245
21	482
22	329
23	350
24	306
25	352
26	465
27	499
28	483
29	310
30	310
31	385
32	317
33	417
34	416
35	417
36	431
37	360
38	287
39	417
40	330
41	573
42	328
43	432
44	617
45	323
46	450
