trial	response_time
1	401
2	342
3	293
4	359
5	334
6	237
7	233
8	268
9	334
10	372
11	240
12	246
13	275
14	460
15	342
16	405
17	305
18	225
19	262
20	230
21	266
22	237
23	258
24	284
25	422
26	377
27	309
28	251
29	238
30	267
31	333
32	260
33	253
34	462
35	241
36	237
37	242
38	295
39	329
40	265
41	362
42	368
43	286
44	263
45	283
46	347
47	275
48	324
49	259
50	277
51	255
52	264
53	258
54	276
55	287
56	351
57	247
58	266
59	274
60	283
61	255
62	298
63	306
64	266
65	307
66	250
67	301
68	268
69	358
70	317
71	388
72	335
73	294
74	280
75	242
76	262
77	272
78	425
79	330
80	250
81	254
82	278
83	296
84	283
85	404
86	263
87	265
88	347
89	273
90	292
91	379
92	360
93	263
94	250
95	299
