trial	response_time
1	380
2	333
3	401
4	422
5	516
6	372
7	332
8	381
9	355
10	347
11	325
12	421
13	346
14	387
15	329
16	402
17	310
18	487
19	411
20	360
21	297
22	307
23	428
24	288
25	381
26	309
27	350
28	389
29	539
30	335
31	369
32	354
33	401
34	342
35	398
36	313
37	322
38	338
39	529
40	346
41	306
42	397
43	411
44	338
45	499
46	312
